,Treatment,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y
1,1,0,1,0,0,1,1,0,0,-1.353848867,-0.579377252,-0.861044198,0.972678342,0.619145771,1.385445672,-1.48727037,0.639192676,0.374734873,0.370187867,0,0,-0.696297598
2,0,0,1,0,0,0,0,0,0,0.631771098,-1.510606385,0.573412811,-0.187477986,0.160333504,-0.37612427,0.723492228,0.960404033,-0.205747355,0.256161252,1,1,2.473414568
3,0,0,0,1,1,0,0,1,0,1.638571111,-2.123697313,0.08778464,1.770592974,-0.399193233,-0.8160865,0.208301902,-0.843622778,-1.644693974,-0.500530567,0,0,-0.492573226
4,1,0,0,1,1,0,0,0,0,-2.3193332,-0.924578641,0.370402753,0.742558936,-0.003008979,-0.086643237,-0.09100042,0.533516822,-1.534859896,-0.330945904,1,0,-0.540922871
5,1,0,1,0,0,0,1,0,0,0.850605108,-0.559240368,-1.103369173,0.166110426,0.447000507,0.29183997,0.623253303,-1.034807568,0.871086772,0.689262904,1,0,1.515564531
6,0,1,0,0,0,0,1,0,1,0.277739773,0.502192168,-1.469161168,1.960940766,-0.631086188,1.162655626,1.223797371,-1.371145059,-0.464620779,-0.029622988,0,0,0.828167316
7,0,0,0,0,0,0,0,0,1,-0.90969831,0.355713304,-0.127382582,-0.554097232,-0.764215525,0.88346126,0.340039025,-1.243839603,1.663479338,1.127657316,0,0,1.322185752
8,1,1,0,1,0,1,1,0,0,-0.012056954,1.967840414,-1.143940423,-1.639228655,-2.507240071,-0.645955924,-0.576465118,0.906521409,1.261362631,0.159554468,1,0,0.708734725
9,1,1,1,1,0,1,0,0,0,-0.244715904,-0.520291492,0.906943845,-0.737025419,-0.164064377,-0.550868786,-0.517299165,-0.060732652,0.179740708,0.378724092,0,1,0.201863454
10,0,0,0,0,1,0,1,1,0,-0.667585681,-1.435203558,1.820091661,0.645030397,0.977291407,-0.926467528,-1.16389463,0.209533874,-0.957484919,0.692864462,0,1,1.737021785
11,1,0,1,0,0,0,1,1,0,0.615255712,1.10994842,-0.079828802,-0.388196591,-1.365608833,0.11534899,2.182783179,-0.157342195,-0.53688078,-1.467806146,1,1,1.171164032
12,1,0,0,0,0,0,0,0,0,-0.167681386,-1.703198327,0.721173264,0.117493155,2.862984826,0.297385258,0.809611389,2.573283265,-0.824745279,-0.487731675,0,0,0.229203477
13,0,1,1,0,0,1,1,0,0,-1.14479419,-0.770257087,-0.074888749,-0.941553825,-0.081252903,0.514270551,1.30252083,-2.345713729,-1.241090011,0.532717569,0,0,0.296144329
14,0,1,0,0,1,0,0,1,1,2.471919728,-1.165664751,-0.996067205,1.54431481,-1.451281518,1.282024216,-1.240384118,-2.247151007,-0.587213354,1.432767844,0,0,2.720536748
15,0,0,0,1,0,0,0,1,0,0.065566012,-0.061399793,0.337432726,-0.143216765,2.294894951,0.700501572,0.301383364,-1.090684601,-0.364287538,-1.337659839,0,0,1.203204821
16,1,1,1,1,0,0,1,1,1,-0.76915826,-0.73004994,-0.949499517,-0.78071334,-0.162317815,1.026045722,1.446582764,-0.327702343,1.531326265,1.156013046,1,0,1.799095317
17,1,1,1,0,1,1,0,0,1,1.466761263,1.241444825,0.186854514,-2.410211062,0.335658639,-1.080054877,-0.043707144,1.052056882,0.169698166,0.300127057,0,1,1.198154317
18,0,0,0,0,1,1,0,0,0,1.109257425,-0.719830054,1.879592561,-0.417795703,-0.356905538,-0.185912207,0.903699327,1.007237358,-0.282308352,0.433042725,0,0,3.599517477
19,1,0,0,0,0,0,1,0,0,0.979390734,-0.221776257,0.016298728,-0.419556265,0.476872347,-0.53407783,1.492207768,-0.209697284,-0.152656221,0.923443594,0,1,1.979893824
20,1,1,0,1,0,0,0,0,1,2.052924234,0.405207952,2.081010164,-0.406817792,0.492405044,-0.026780826,2.221763806,-0.279115807,2.705487844,0.444201143,1,0,3.861769405
